,device,topic_level1,topic_level2,topic_level3,action,related topic (noun),title,question,answer,type,comment,
1388,no_device,"['account', 'bill']","['bill', 'account']",[],"view bill, biew bill details","bill details, My sprint businees, my sprint bussiness accout",View bill details for My Sprint Business accounts,View bill details for My Sprint Business accounts,"Quickly search and view up to 24 months of your past bills with usage and call details online at Sprint.com.
To view bill details, you must have a valid sprint.com account and have an account owner or account authorized status. Read more about the different levels of profile access on sprint.com.
1. Sign in to sprint.com with your username and password.
2. Click See my bill.
Note: If you do not see the Your Bill section, you do dot have an account owner profile. You can request access from the person who set up the account, or if you are the only profile on your account, enter your billing ZIP code and account PIN on the My Preferences page to create an account owner profile.

3. In the I want to... section, select See bill history.

4. On the Bill History page, select View Online or Download PDF for the date to be viewed.
Note: Bills are available in PDF format only if the billing cycle is 90 days ago or older. PDF format will contain the call details without additional action needed.

5.If viewing online Select For Call Details Click Here.

6. Select the ptn you want to see details about. You are now on the summary screen. Click on Cellular Services Call Detail.
The Call Details screen is displayed. Type of usage can be toggled from Voice Call to Roaming. Select another phone on the account to view the details for that line. There is a legend explaining the rate type.",general,,
280,samsung_galaxi_s7,"['hardware', 'software']","['battery', 'internet&network']","['hotspot', 'wifi']",,"battery life, wifi hotspot, mobile wifi hotspot",FAQs related to Wi-Fi hotspots on your Samsung Galaxy S7,Does using my Samsung Galaxy S7 as a mobile Wi-Fi hotspot drain my battery?,"Using your Samsung Galaxy S7 as a personal and portable Wi-Fi hotspot can increase battery consumption.
You can also take steps to conserve your battery.
Conserve battery life.",device,,
1103,no_device,[],[],[], pick up items,"buy online, pick up in stall, pick up location","FAQs about Buy Online, Pick Up in Store",Where can I pick up my items?,"That's up to you. During the checkout process, you'll select a participating Sprint store based on the address you provide. Want to pick it up at the store near your house? Go for it. Want to grab it on your way home from work? Select the store near your office. Are you going to be running errands? Check ""shop for cell phone"" off your list by buying it online first, and picking it up in the shopping center you'll be visiting later.",general,,
456,appl_iphon_4_8gb,['software'],['contact'],[],recover contact,phone contact,Recover contacts on your Apple iPhone 4,Recover contacts on your Apple iPhone 4,"Steps to recover your saved contacts 
   Note: You can recover your contacts only if you've previously backed them up. 
    
     Display options Be sure all of your contacts are visible. 
      
      From the home screen, tap Settings. 
      Scroll to and tap Mail, Contacts, Calendars. 
      Under Accounts, tap the preferred account. 
      Next to Contacts, slide the toggle switch to ON. 
      Repeat this process for all of the preferred accounts. 
      You can now see all of your contacts. 
       
     iCloud If your contacts were synced with iCloud, you can sign into iCloud and recover them. 
      
      From the home screen, tap Settings. 
      Scroll to and tap iCloud. 
      Tap Apple ID and enter your Apple ID. 
      Tap Password and enter your Apple ID password. 
      Tap Sign In. 
       
       If prompted to merge local contacts with iCloud, tap Merge. 
       If prompted to Allow iCloud to Use the Location of Your iPhone, tap the preferred option. 
       
      Be sure that Contacts is turned ON. 
      You've now signed in to your iCloud account and your contacts display. 
       
     Google If you've saved your contacts to your Google account, you can restore them to your Apple iPhone 4. 
      
      From the home screen, tap Settings. 
      Scroll to and tap Mail, Contacts, Calendars. 
      Tap Add Account. 
      Tap Google. 
      Enter your name, email address, and password. 
      Tap Next. 
      Ensure Contacts is turn ON. 
      Tap Save. 
      You've now added the Google account and your Gmail contacts display. 
       
     Bluetooth Some Bluetooth-enabled devices have Bluetooth file transfer capabilities. If you stored your contacts on another Bluetooth-enabled device, you can recover your contacts. 
      
      Be sure you have Bluetooth enabled on the other device and it's ready to be paired. 
      From the Apple iPhone 4 home screen, tap Settings. 
      Tap Bluetooth. 
      Tap the Bluetooth slider to ON if it isn't already selected. 
      Your device searches for available Bluetooth devices within range. Tap the name of the other device. 
      If a Bluetooth pairing request displays, verify the passkeys match and tap Pair. 
      After you've paired the devices, begin the transfer of contacts from the other device. 
      After the transfer is complete, open the file on your Apple iPhone 4 and follow the prompts to load your contacts into your contact list. 
      Pair with a Bluetooth device.",device,,
982,no_device,['software'],['internet&network'],['network'],improve network experience,"My print mobile, sprint zone, network experience ",Improve your network experience,How could My Sprint Mobile (formerly Sprint Zone) improve my network experience?,"Go to My Sprint Mobile (formerly Sprint Zone) on your Sprint phone and touch Network . There you can findseveral choices to improve your experience, includingreporting a network issue.

Select your device to access specific advice and support articles that are tailored to help you make the most out of the Sprint network.
",general,,
1956,samsung_galaxi_s7,"['troubleshoot', 'software']",['calls'],['call'],"troubleshoot phone, troubleshoot calls","issue related to calls, making and recieving calls, special edition",Troubleshoot issues related to making and receiving calls on your Samsung Galaxy S7 Special Edition,Troubleshoot issues related to making and receiving calls on your Samsung Galaxy S7 Special Edition,"This article helps troubleshoot making or receiving calls on your Samsung Galaxy S7 Special Edition 
  You may have issues with calls if you have: 
   
   A low signal strength 
   Trouble making or receiving calls 
   Frequently dropped calls 
   
  These steps help identify and resolve the underlying cause. After completing each step, test to see if the issue is fixed. If not, continue to the next step. 
   
    Verify airplane mode is turned off.  
     
     From the home screen, tap Apps. 
     Tap Settings. 
     Tap Airplane mode. 
     Tap the Airplane mode switch to Off if needed. 
      
    Reset the network settings.  Resetting the network settings reconnects your phone to the Sprint network and does not erase any of your content or data. 
     
     From the home screen, tap Phone. 
     Enter ##72786#. Note: The Final # will not display.   
     Tap YES. 
     The phone will restart and Hands Free Activation will begin. 
      
    Verify if coverage is available at your current location.  If your Samsung Galaxy S7 Special Edition has low signal strength, see if your location is within Sprint voice coverage on the Sprint coverage map.  
    Perform a soft reset.  A soft reset reconnects your Samsung Galaxy S7 Special Edition to the Sprint network. 
     
     Press and hold the Power and Volume down keys at the same time. 
     Release both keys as soon as the device restarts. 
      
    Do you know if other Sprint customers are experiencing the same issue in the same location?  
     
     If yes or you don't know: Please contact Sprint Customer Care for help. 
     If no: Please find the nearest Sprint Repair center and schedule an appointment so a Sprint technician can further diagnose the issue. 
      
   
  Note: To optimize device performance, be sure your Samsung Galaxy S7 Special Edition is running the most recent device software. Check for software updates.  
  If you're still having issues, please contact Sprint Customer Care for more help.",device,,
1740,no_device,[],[],[],"enable content filter, disable content filter","parental controls, content filter",FAQs about parental controls using content filters,Who can enable/disable the content filter?,Only the account owner (or designee) can change the content filter setting for each device on the account. Users who are not the account owner or do not have delegated permission from the account owner cannot change the setting.,general,,
675,no_device,['service'],"['plan', 'eligible']",[],,"family plan, sprint family plan, eligibility of plan, changes to sprint family plan",Learn about changes to the Sprint Framily Plan,Who is eligible for the Framily plan?,"Only existing Sprint customers on an account that has a Framily Plan can be added to the group assuming the group has less than 10 lines.
I am a current Sprint customer and want to add a new line on Sprint Framily.
You may still add a line to an existing Framily group that has not reached the 10 line maximum. Customers can add new phone lines and purchase a new device with installment billing, with non-discounted phone pricing, or bring their own Sprint-certified device; by visiting a Sprint retail store or calling customer care.
I am a current Sprint customer and want to change my current plan to Sprint Framily Plan. I am upgrade eligible or am in an active Sprint One Up installment billing agreement.
Sprint Framily is only available for a customer joining an existing Framily if they are on the same account. Customers who are upgrade eligible are eligible to join an existing Sprint Framily Plan if they are on the same account as the Framily ID. Customers in an active Sprint One Up SM installment billing agreement established prior to 1/10/14 are eligible to join an existing Sprint Framily Plan. Here are some additional things to keep in mind: Customers who move to the Sprint Framily Plan cannot carry over the monthly $15 installment billed discount on Unlimited, My Way or My All-in. The One Up customer will maintain the annual upgrade benefit afforded to them under the program (at no additional charge per month) until the end of their current installment billing agreement provided they make their 12 consecutive Installment Agreement payments on time. When the customer elects to take advantage of the annual upgrade, the customer must enter into a new Installment Agreement and giveback current phone under an Installment Agreement. If they would like to keep the annual upgrade option, the customer will need to purchase the $20/month per line unlimited data with annual upgrades buy-up and make 12 consecutive payments to qualify for the next annual upgrade benefit. Customers can join a Framily group on the customer's existing account that has not reached the 10 line maximum. The line cannot join with groups outside of the customers existing account. Go to a Sprint store to change your plan.
I am a current Sprint customer that purchased a discounted phone with a term commitment, am not upgrade eligible and want to change my current plan to Sprint Framily.
Sprint Framily is only available to a customer joining an existing Framily Plan on the same account. Customers who join an existing Framily plan can change. However, they will pay an additional $15/month per line for the Sprint Framily Plan until the line is upgrade eligible or after 12 consecutive months on the $20/month per line Unlimited Data with annual upgrades buy up, whichever comes first. The charge will be billed as a separate line item called the Framily Service Charge. Customers can join a Framily group on the customer's existing account that has not reached the 10 line maximum. The line cannot join with groups outside of the customer's existing account. Go to a Sprint store to change your plan.",general,,
360,samsung_galaxi_s7,['hardware'],['battery'],[],conserve battery life,"battery life, special editionl, ",FAQs related to the battery on your Samsung Galaxy S7 Special Edition,How can I conserve my Samsung Galaxy S7 Special Edition battery life?,"You can lower screen timeout and brightness, turn off idle radios and apps, use Wi-Fi whenever available, turn off automatic application updates, and limit your email updates and application notifications.
Conserve battery life.",device,,
327,no_device,[],[],[],"excercise option, excersice annual upgrade option","Sprint one up, annual upgrade option, annual upgrade",Learn more about Sprint One Up,I am enrolled in Sprint One UpSM. How do I exercise my annual upgrade option?,"After 12 consecutive installment payments, customers enrolled in Sprint One Up are eligible to give back their current smartphone (see Sprint Giveback Program Terms) and upgrade to a new smartphone by entering into a new Installment Agreement. The smartphone the customer will give back after the 12 consecutive installment payments has to be the same or equivalent model that was subject to the original installment.",general,,
35,no_device,"['device', 'software']",['internet&network'],"['data', 'hotspot', 'internet']","share internet connection, connect hotspot","data connectivity, Netgear zing mobile hotspot, internet connection",FAQs about the data connectivity of your Netgear Zing Mobile Hotspot,Can I share the Internet connection with other devices?,Your Netgear Zing Hotspot supports up to 10 wireless connections and 1 USB connection.,general,,
954,no_device,"['device', 'service', 'hardware']","['phone', 'camera']",['phone'],,"sprint prepaied phone, unlocking policy",Sprint Prepaid phone unlocking policy and FAQs,What is Sprint Prepaid's device unlocking policy?,You can find Sprint Prepaid's device unlocking policy at sprint.com/prepaidunlock.,general,,
133,samsung_galaxi_s7,['hardware'],['battery'],[],conserve battery life,"battery life, special editionl, ",Conserve battery life - Samsung Galaxy S7 Special Edition,Conserve battery life - Samsung Galaxy S7 Special Edition,"If the device is experiencing a short battery life, disabling some features and modifying settings may help.

	The display uses most of your battery power. To adjust your display settings to use less power, from the home screen, swipe down the Status bar.

	Tap the Settings icon.

	Scroll to and tap Display.

	Tap and drag the Brightness slider to the lowest comfortable brightness level.

	Note: To allow the device to automatically adjust the screen brightness, tap to check Auto.

	Tap Screen timeout.

	Tap the lowest comfortable Screen timeout setting.

	Tap Always On Display.

	Tap the switch to Off to disable Always On Display.

	Tap the Back key twice to return to Settings.

	Using a live wallpaper can drain the battery faster.

	Scroll to and tap Wallpaper.

	Ensure that the Wallpaper motion effect switch is disabled, then tap the preferred wallpaper image and tap SET AS WALLPAPER.

	Note: To change the wallpaper for the Lock screen, tap Home screen, then tap Lock screen.

	Swipe down the Status bar.

	Wi-Fi is a faster, lower power connection that can extend battery life by as much as 50%. Be sure that the device is connected to Wi-Fi whenever possible

	However, leaving Bluetooth or GPS on when not actively in use can drain the battery faster.

	Tap to turn off Bluetooth and Location.

	When finished, press the Home key.

	Note: You may need to swipe the quick settings bar to make some options available. The Quick Setting icons are Grey when turned off.

	Some applications can run in the background and use extra battery life.

	Tap the Recent Apps key.

	Swipe an application to the side to close it, or tap the Close icon.

	To close all applications, tap CLOSE ALL.

	Note: Most applications do not use battery power when running in the background, and constantly closing all applications can make the device use more battery power.

	Setting the device to sync less information can improve battery life.

	From the home screen, swipe down the Status bar.

	Tap the Settings icon.

	Scroll to and tap Accounts.

	Tap an account type.

	Note: If prompted, tap to select the account name.

	Tap to disable any unnecessary sync options.

	When finished, tap the Back key twice to return to Settings.

	Note: Repeat as needed for all accounts on the device.

	Turning off vibration can improve battery life.

	From the Settings screen, scroll to and tap Sounds and vibration.

	Scroll to and tap the Vibrate while ringing, Vibration feedback and Keyboard vibration switches to disable them.

	When finished, tap the Back key to return to Settings.

	Scroll to and tap Battery.

	Your device has two power saving modes:

	
		Power saving mode: Limits performance and disables background synchronization (emails, messages, and some notifications may not work)
	
		Ultra power saving mode: Drastically changes the interface and functionality, disables most applications and connectivity (only recommended for advanced users).


	To enable one of the power saving modes, tap the mode, then tap the switch to On.

	When finished, or to skip this step, press the Home key.

	Charging the device on a regular basis will maximize the battery life.

	The charger/connectivity port is located on the bottom of the device.

	Plug the charger into the power socket and then connect it to the device.

	The device is now configured to conserve battery life.",device,,
67,samsung_galaxi_s7,['software'],"['calls', 'internet&network']","['wifi calling', 'wifi', 'network', 'call']","make wifi calls, receive wifi calls","wifi calls, public wifi network",FAQs about Wi-Fi Calling,Can I make and receive Wi-Fi calls over a public Wi-Fi network?,"Many public Wi-Fi networks allow Wi-Fi calling, but some networks may block Wi-Fi calling. If you can't make or receive Wi-Fi calls when connected to a network, contact the network provider for more information.
Some public Wi-Fi networks require extra steps to connect to the network. Make sure your device is connected to the public Wi-Fi network. If you are still unable to place calls, check your web browser for additional steps.",device,,
167,no_device,[],[],[],"cancel order, change order status","order status, buy online, pick up in stall","FAQs about Buy Online, Pick Up in Store",Can I cancel my order?,You can cancel your order any time by calling Sprint Order Support at 866-789-8292. Please have your order confirmation number ready when you call.,general,,
671,no_device,['troubleshoot'],[],[],"troubleshoot phone, troubleshoot device","slow device, slow phone, phone freezes, device freezes, device turns off unexpectedly","Troubleshoot when your Nexus 6 slows, freezes, or turns off unexpectedly","Troubleshoot when your Nexus 6 slows, freezes, or turns off unexpectedly","This article helps troubleshoot your Nexus 6 slowing, freezing, or turning off unexpectedly
You may have performance issues if your Nexus 6:
Performs slowly Freezes Turns off or unexpectedly restarts Displays error messages Is unable to install or update applications
Try each of these steps to see if it helps improve your phone's performance.
Perform a soft reset.
A soft reset restarts your phone and does not erase any of your content or data.
Press and hold the Power key until the phone turns off.
Determine if your phone has low memory.
From the home screen, tap the All Apps icon. Scroll to and tap Settings . Tap Storage & USB . Used storage is now displayed. If your phone has low memory, troubleshoot low memory issues .
Clear the application cache.
Clear the application cache on your applications to free up space and improve performance. Be sure you clear only the application cache and not the application data . When you clear the application data , it removes your personal settings and info such as login information and high scores. Clearing the application cache doesn't remove your personal settings or information.
From the home screen, tap the All Apps icon. Scroll to and tap Settings . Scroll to and tap Apps . Tap an application. Tap Storage . Tap CLEAR CACHE .
Close background applications.
Some apps continue to run in the background after you exit them. Sprint recommends that you close background applications when you're not using them.
Verify that your Nexus 6 is running the most recent software.
There may be a software update that improves battery life on your phone. Check for software updates.
If you're still having issues, try the Sprint Community pages or make an appointment at a convenient Sprint Repair center.",general,,
367,no_device,[],[],[],make returns,"order returns, buy online, pick up in store","FAQs about Buy Online, Pick Up in Store",Can I make returns?,Returns work the same as if you had bought the device in a store. You can learn all about our return policy here.,general,,
1546,no_device,['software'],['internet&network'],['network'],"improve network experience, check coverage area","network experience, coverage area, network coverage ",Improve your network experience,How do I check on my coverage area?,"See our coverage map, where you can select a device and enter your address for personalized details.",general,,
625,samsung_galaxi_s7,['software'],['internet&network'],['bluetooth'],pair with bluetooth,bluetooth,Pair with Bluetooth - Samsung Galaxy S7,Pair with Bluetooth - Samsung Galaxy S7,"From the home screen, swipe down the Status bar.

	Tap the Settings icon.

	Tap Bluetooth.

	Tap the switch to turn Bluetooth ON.

	Note: If Bluetooth is already enabled, skip this step.

	Ensure the Bluetooth device is on and set to discoverable or pairing mode.

	The phone will search for available Bluetooth devices in range automatically. Once the search is complete, tap the Bluetooth device name.

	Note: If the device is not found, tap SCAN to perform another search.

	Refer to the Bluetooth device's user manual for specific pairing requirements.

	If a Bluetooth pairing request appears, verify the passkey for both devices is the same and tap OK.

	Note: The default passkey for most Bluetooth devices is 0000 or 1234. Other devices may have other requirements. Refer to the Bluetooth device's user manual for specific instructions.

	Check both the phone and the Bluetooth device for any prompts.

	The Bluetooth device is paired.

	Note: To unpair a device, tap the Settings icon next to the device name, then tap Unpair.",device,,
1112,samsung_galaxi_s7,"['bill', 'software']","['cost', 'internet&network']","['hotspot', 'wifi']",use wifi hotspot,"wifi hotspot, cost of mobile wifi hotspot",FAQs related to Wi-Fi hotspots on your Samsung Galaxy S7,Does it cost more to use my Samsung Galaxy S7 as a mobile Wi-Fi hotspot?,Yes. You can add the mobile Wi-Fi hotspot feature to your Samsung Galaxy S7. The cost depends on the add-on you choose.,device,,
429,samsung_galaxi_s7,"['device', 'hardware']",['activate '],[],"activate phone, activate devcie","phone activation , device activation",Activate your device - Samsung Galaxy S7,Activate your device - Samsung Galaxy S7,"Turn the device on by pressing the Power/Lock key.

	Note: The device can complete all Hands Free Activation steps with no user interaction.

	If the Hands Free Activation fails to activate successfully, up to 5 additional activation attempts will be offered. If all attempts to activate fail, alternate activation methods will be necessary.

	It is also necessary to have Sprint network coverage. To verify Sprint Coverage, visit the Sprint website at coverage.sprint.com.

	Swipe the screen to unlock the device.

	The Hands Free Activation process will begin automatically.

	Once the device is activated, tap OK.

	The device will update the PRL.

	When finished, tap OK.

	The device will check for Firmware Updates.

	If an update is available, follow the on-screen prompts to install the update. Otherwise, tap OK.

	If prompted, review the Attention message and tap OK.

	The device is now activated.

	Note: If the Hands Free Activation is unsuccessful, complete the Initial Sign In and First Use tutorial and then complete the Update the Data Profile tutorial.",device,,
251,no_device,['troubleshoot'],[],[],"troubleshoot phone, troubleshoot device","slow device, slow phone, phone freezes, device freezes, device turns off unexpectedly","Troubleshoot when your Apple iPhone 5c slows, freezes, or turns off unexpectedly","Troubleshoot when your Apple iPhone 5c slows, freezes, or turns off unexpectedly","This article helps troubleshoot your Apple iPhone 5c slowing, freezing, or turning off unexpectedly.
You may have performance issues if your Apple iPhone 5c:
Performs slowly Freezes Turns off or unexpectedly restarts Displays error messages Is unable to install or update applications
Try each of these steps to see if it helps improve your phone's performance.
Perform a soft reset.
A soft reset restarts your phone and does not erase any of your content or data.
Press and hold the Power key and Home key. From the home screen, press and hold the Power key and the Home key. Release the Power key and the Home key when the Apple logo appears. Your Apple iPhone restarts.
Charge your Apple iPhone 5c.
If your iPhone is low on battery, it will attempt to extend the battery life by slowing performance down. If an application or background process requires higher performance, it may make the phone appear freeze or slowdown. Charging your device will provide enough power for the phone to function normally.
Charge your device.
Determine if your phone has low memory.
From the home screen, tap Settings . Scroll to and tap General . Tap Usage . If your phone has low memory, troubleshoot low memory issues .
Close background applications.
Some apps continue to run in the background after you exit them. Sprint recommends that you close background applications when you're not using them.
Perform a DFU mode update.
A DFU mode update uses a special phone state that allows your Apple iPhone 5cto communicate with iTunes without your iPhone fully turning on. DFU mode is used to update or restore iOS
Note: While performing an update or reinstalling using DFU mode, iTunes will try to preserve your settings and content. If Restore is selected, all settings and content will be erased.
Connect your iPhone to a computer with iTunes installed . While your iPhone is connected, press and hold both the Power and Home buttons. When and iTunes logo, arrow, and lightning cable appear on the screen, release both keys. An iTunes prompt will appear to either Restore or Update. Choose Update .
Note: Restore should be used as a last resort. Choosing Restore will erase all content and settings.
If updating takes longer that 15 minutes, your iPhone will leave recovery mode. If your iPhone leaves recovery mode, repeat steps 2 thru 4.
Verify that your Apple iPhone 5c is running the most recent software.
There may be a software update that resolves the issue on your phone.
Check for software updates from your iPhone. Update software using iTunes .
If you're still having issues, try the Sprint Community pages or make an appointment at a convenient Sprint Repair center.",general,,
15,no_device,"['troubleshoot', 'software']",['internet&network'],['data'],troubleshoot data connectivity,"issue of data connectivity, issue location, issue impact range",Troubleshoot issues related to data connectivity and your Apple iPhone 6 Plus,Do you know if other Sprint customers are experiencing the same problem in the same location?,"If yes or you don't know: Please contact Sprint Customer Care for help. If no: Please find the convenient Sprint Repair center and schedule an appointment so a Sprint technician can further diagnose the issue.
Temporary solution: Connect to a Wi-Fi network.
You can connect to a Wi-Fi network as a temporary solution.
Note: Most Wi-Fi networks have a range of less than 100 feet indoors and up to 300 feet outdoors. Objects between the router and your Apple iPhone 6 Plus may decrease the signal strength.
Connecting to a Wi-Fi network may also improve battery life.
Note: To optimize device performance, be sure your Apple iPhone 6 Plus is running the most recent device software. Check for software updates.
If you're still having issues, please contact Sprint Customer Care for more help.",general,,
387,no_device,['software'],"['setting', 'default_apps']","['music', 'setting']",,"sprint music plus, ringback tong libray, everying setting, day setting",Learn more about Sprint Music Plus,"In the ringback tone library, what are the ""Evening"" and ""Day"" settings for?","You may set a ringback tone to play only during ""Day"" hours or ""Evening"" hours. A ringback tone set for ""Day"" hours plays between 6 a.m. and 6 p.m. Eastern Time and a ringback tone set for ""Evening"" hours plays between 6 p.m. and 6 a.m. Eastern Time. If you leave either the ""Day"" or ""Evening"" options blank, no tone will play during the selected period.",general,,
1290,no_device,[],[],[],,"hd voice, sprint hd voice",FAQs about HD Voice from Sprint,How does HD Voice work?,"HD Voice transmits and receives a wider octave range of the speaker's voice. This creates a richer, more natural sound during calls. At the same time, HD Voice actively detects background noise and minimizes its presence. This makes your voice and the voice on the other end of the call more defined, prominent and easier to understand.",general,,
2143,appl_iphon_4_8gb,['software'],['message'],['text'],turn on speak auto-text,speak auto-text,Turn on Speak Auto-text - Apple iPhone 4,Turn on Speak Auto-text - Apple iPhone 4,"The Speak Auto-text function enables the iPhone to automatically speak auto-corrections and auto-capitalisations to the user as they type.

	From the home screen, tap Settings.

	Scroll to and tap General.

	Tap Accessibility.

	Tap the Speak Auto-text toggle to enable or disable the feature.

	Speak Auto-text is now enabled.",device,,
208,no_device,['software'],['default_apps'],['music'],,"sprint music plus, shuffle list, ringback tones",Learn more about Sprint Music Plus,What is the shuffle list for ringback tones?,"The shuffle list plays a random ringback tone to your callers from the tones you have purchased and added to the shuffle list. To add a ringback to your shuffle list, select ""Ringback Tones"" under ""Library"" from the main menu.
",general,,
530,no_device,"['account', 'software', 'service', 'hardware']","['passcode', 'setting', 'email', 'phone', 'calls', 'camera']","['setting', 'voicemail', 'phone']",reset voicemail passcode,"sprint voicemail, voicemail passcode",FAQs about Sprint voicemail,How do I reset my Sprint voicemail passcode from my phone?,"To reset your voicemail passcode: Dial *2 Select Account Information or Changes Follow instructions to reset your voicemail passcode. Note: Resetting your voicemail passcode is just a part of keeping your voicemail secure. For more information about keeping your voicemail secure, go to Keep your voicemail secure .",general,,
294,samsung_galaxi_s7,[],[],[],"download app, install app",,Download and install an app - Samsung Galaxy S7,Download and install an app - Samsung Galaxy S7,"From the home screen, tap Play Store.

	Note: If the shortcut is not available, tap Apps, then scroll to and tap Play Store.

	Tap the preferred category.

	Note: If prompted, read the welcome messages and tap GET STARTED.

	Scroll to and tap an application.

	Note: If preferred, swipe to select a sorting option.

	Tap INSTALL.

	Note: For apps that are not free, tap the purchase price and follow the prompts to select a payment option.

	If prompted, review the application permissions, then tap ACCEPT.

	If a New in Android 6.0 and higher prompt appears, tap CONTINUE.

	The application is now installed.",device,,
457,samsung_galaxi_s7,"['troubleshoot', 'software']","['calls', 'internet&network']","['wifi calling', 'wifi', 'call']","troubleshoot phone, troubleshoot wifi calling",wifi calling,Troubleshoot issues related to Wi-Fi calling on your Samsung Galaxy S7,Troubleshoot issues related to Wi-Fi calling on your Samsung Galaxy S7,"This article helps troubleshoot Wi-Fi calling issues on your Samsung Galaxy S7 
   You may have Wi-Fi calling issues if you: 
    
    Cannot activate the Wi-Fi calling feature  
    Cannot place calls while using Wi-Fi calling 
    Hear a fast busy tone when placing a call  
    Incoming calls show a different number than the actual caller  
    
   These steps help identify and resolve the underlying cause. After completing each step, test to see if the issue is fixed. If not, continue to the next step. 
    
     Verify you're connected to a Wi-Fi network. Connect to a Wi-Fi network  Note: Some public Wi-Fi networks require additional sign in steps before Wi-Fi calling can be used.  
     Verify you've enabled and set up Wi-Fi calling. Activate Wi-Fi Calling.  
     Perform a soft reset. A soft reset reconnects your Samsung Galaxy S7 to the Sprint network. 
      
      Press and hold the Power and Volume down keys at the same time. 
      Release both keys as soon as the device restarts. 
       
    
   Note: To optimize device performance, be sure your Samsung Galaxy S7 is running the most recent device software. Check for software updates. 
   If you're still having issues, please try the Sprint Community pages or contact Sprint Customer Care for more help.",device,,
599,no_device,"['service', 'hardware']","['phone', 'camera']",['phone'],unlock phone,internatioinal travel,How to unlock your phone for international travel,How to unlock your phone for international travel,Please review our unlocking policy for more information about unlocking your device for international travel and using a foreign carrier's SIM.,general,,
995,appl_iphon_4_8gb,"['device', 'hardware']",['activate '],[],"activate device, activate phone",Pre owned as you go,Activate your device - Apple iPhone 4 8GB Certified Pre Owned As You Go,Activate your device - Apple iPhone 4 8GB Certified Pre Owned As You Go,"To turn the phone on, press and hold the Power key.

	Slide the screen to the right to begin set up.

	Tap the preferred language.

	Tap the preferred country or region.

	Tap the preferred Wi-Fi network.

	Note:If there are no Wi-Fi networks available, tapConnect to iTunes.

	If prompted, enter the selected Wi-Fi network's password, then tapJoin.

	Tap the preferredLocation Servicesoption.

	TapSet Up as New iPhone.

	Note:TapRestore from iCloud BackuporRestore from iTunes Backupif restoring a previous iPhone's settings.

	Tap Sign In with your Apple ID.

	Note: If you do not have an Apple ID, tap Create a Free Apple ID and follow the prompts, or visit http://appleid.apple.com.

	Enter the email address and password that is associated with your Apple ID, then tapNext.

	Read the Terms and Conditions and tap Agree.

	TapAgree.

	Tap the preferrediCloudoption.

	If prompted, tap the preferredFind My iPhoneoption.

	Tap to enable or disable theiMessage and FaceTimeoptions, and then tapNext.

	Tap the preferredDiagnosticsoption.

	TapGet Started.

	The iPhone is now ready for use",device,,
1254,samsung_galaxi_s7,"['troubleshoot', 'software']",['internet&network'],['data'],"troubleshoot phone, troubleshoot data connectivity","data connectivity, issue with connectivity ",Troubleshoot issues related to data connectivity and your Samsung Galaxy S7,Troubleshoot issues related to data connectivity and your Samsung Galaxy S7,"This article helps you troubleshoot data connectivity issues on your Samsung Galaxy S7 
  You may have data connectivity issues if you're unable to: 
   
   Connect to the Internet 
   Browse websites 
   Send or receive multimedia messages 
   Load Internet content within applications 
   Send or receive email 
   
  These steps help identify and resolve the underlying cause. After completing each step, test to see if the issue is fixed. If not, continue to the next step. 
   
    Verify mobile data is enabled.  
     
     From the home screen, tap Apps. 
     Scroll to and tap Settings. 
     Scroll to and tap Data usage. 
     Ensure that the Mobile data switch is ON. 
      
    Update your Sprint data profile.  The data profile contains settings your phone needs to connect to the Sprint network. 
     
     Access Sprint Zone. 
     Scroll to and tap Support. 
     Tap Diagnostics. 
     Tap Update profile. 
     After the profile update is complete, tap OK. 
      
    Perform a soft reset.  A soft reset reconnects your Samsung Galaxy S7 to the Sprint network. 
     
     Press and hold the Power and Volume down keys at the same time. 
     Release both keys as soon as the device restarts. 
      
    Do you know if other Sprint customers are experiencing the same problem in the same location?  
     
     If yes or you don't know: Please contact Sprint Customer Care for help. 
     If no: Please find the nearest Sprint Repair center and schedule an appointment so a Sprint technician can further diagnose the issue. 
      
    Temporary solution: Connect to a Wi-Fi network.  You can connect to a Wi-Fi network as a temporary solution. Note: Most Wi-Fi networks have a range of less than 100 feet indoors and up to 300 feet outdoors. Objects between the router and your Samsung Galaxy S7 may decrease the signal strength.  Connecting to a Wi-Fi network may also improve battery life.  
   
  Note: To optimize device performance, be sure your Samsung Galaxy S7 is running the most recent device software. Check for software updates.  
  If you're still having issues, please contact Sprint Customer Care for more help.",device,,
1739,samsung_galaxi_s7,['software'],['calls'],['call'],make conference call,conference call,Make a conference call - Samsung Galaxy S7,Make a conference call - Samsung Galaxy S7,"While on a call, tap Add call.

	To dial the second number manually, enter the 10-digit phone number and tap the Call button.

	To dial a number from the contact list, tap CONTACTS.

	Scroll to and tap the preferred contact.

	Tap the preferred phone number.

	After the second call connects, tap Merge.

	The conference call is now initiated.",device,,
849,no_device,['software'],['internet&network'],"['data', 'hotspot', 'internet']",,"data connectivity, issue with connectivity, Netgear fuse mobile hotspot, internet disconnecting",FAQs about the data connectivity of your NETGEAR Fuse Mobile Hotspot,Why is my NETGEAR Fuse Mobile Hotspot disconnecting from the Internet?,You may be using your device in an area with low or no coverage. You've been using your device for a long time. Your computer may be experiencing a temporary problem.,general,,
